Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9027.802,25894.732,2272.641,25.41,21.37240219,7.76
9094.331,25887.782,2263.745,26.14,21.93207932,6.29
9090.469,25903.706,2284.083,20.03,18.23223686,5.8
9132.75,25948.532,2287.515,13.34,14.49603176,2.48
9087.432,25948.323,2266.384,17.04,17.61314201,6.63
9026.228,25997.111,2299.123,11.66,11.65999985,5.85
9099.859,26000.602,2268.387,16.41,17.00801086,9.39
9129.744,25984.761,2296.717,16.27,17.51434708,10.42
9130.633,25984.794,2286.255,15.12,15.31727219,8.59
9131.67,25984.87,2274.3,17.42,15.3644619,8.29
9151.562,26001.181,2297.13,25.87,16.92651749,8.98
9155.685,26001.529,2264.65,16.99,13.04286385,9.34
9122.364,26046.478,2306.83,17.5,15.44636059,7.87
9130.638,26046.043,2296.171,11.21,14.75865459,10.04
9150.78,26044.841,2270.059,7.2,11.00117493,8.81
9156.304,26044.489,2262.963,11.47,12.35391426,8.97
9078.635,24937.082,2143.278,27.88,27.07837486,8.72
9209.18,25000.798,2162.371,22.89,20.27684021,6.83
9049.107,25826.092,2218.272,19.44,19.27900124,7.22
8979.955,25034.508,2152.196,26.52,26.1836586,5.36
9044.492,25146.143,2179.372,26.98,26.57564926,7.1
8881.722,25294.717,2164.516,38.46,29.0906601,8.47
8901.546,25277.669,2177.68,37.59,34.61853027,7.87
9011.123,25507.842,2100.682,27.1,24.87880516,9.12
9062.929,25696.995,2100.967,27.68,23.84113503,8.2
9256.22,24697.001,2216.589,23.25,22.50253487,6.96
9166.261,25072.189,2168.542,23.79,23.36639214,5.56
9023.816,25441.951,2102.756,23.79,22.96831512,6.61
9245.192,24697.927,2240.392,20.34,20.37264633,5.04
8999.457,24970.594,2140.382,28.51,25.53500748,5.64
9092.551,25052.038,2115.591,22.42,21.35699654,8.62
9047.246,25340.202,2088.163,23.0,20.52698708,8.78
9060.45,25646.15,2100.999,15.68,15.52139854,8.05
9019.8,25646.013,2100.883,20.63,20.56583023,8.31
8989.882,25033.662,2167.187,29.72,28.34173584,5.03
9066.206,25751.792,2099.358,19.61,19.25937653,7.0
9037.832,25752.783,2101.842,22.22,20.95506096,6.33
9072.026,25610.492,2103.685,19.19,18.24697876,8.52
8998.957,25645.831,2098.324,20.26,20.22477531,7.24
9080.795,25057.028,2140.223,21.14,20.36577988,7.42
9101.177,25709.756,2203.23,23.47,22.2577858,7.25
9155.229,25154.414,2169.563,13.01,13.9646349,2.82
9209.03,25001.059,2127.872,26.96,24.75579834,6.87
9032.652,25030.023,2231.411,18.09,18.6484623,5.19
8872.682,25448.335,2141.834,28.65,27.92974281,6.44
9104.721,25090.235,2171.899,26.39,25.6517086,4.96
8992.797,25752.826,2100.235,26.3,23.11593246,7.6
8944.601,25164.123,2169.836,18.78,18.72379684,4.13
9219.641,24751.242,2187.987,19.68,19.84345627,8.1
9021.512,24965.037,2117.518,19.02,21.09285545,9.63
