Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore,origen,pred_nscore_knn,pred_nscore_xgb
8761.37712455432,25898.68369609891,1367.3402255601227,,,0,,relleno,-0.45298817525398294,-0.32748213
9048.799675762892,26121.88580184369,1593.7791887928463,,,0,,relleno,-0.2555611980072171,-0.39089194
8935.194391189349,25570.520608625982,1634.329224317686,,,0,,relleno,0.1379707976238329,0.38656974
8987.794733928176,24818.538754002657,1686.2199375343075,,,0,,relleno,0.6327695449033889,0.14914146
9004.977953279913,25914.060020801666,1541.1543462842424,,,0,,relleno,-0.15028344450168096,-0.12358967
8972.22735439561,25130.54155920955,1725.3369552613487,,,0,,relleno,0.29169023587065657,0.40845853
8895.018772686444,25440.26801808509,1581.0330767013438,,,0,,relleno,-0.27390883662399845,-0.46442318
9105.370735839932,24955.240075778405,1470.86782599481,,,0,,relleno,-0.09466601667671497,-0.17612006
8977.296518570587,26095.14214491889,1566.4288191408634,,,0,,relleno,-0.15028344450168096,0.04013533
8967.606164343068,25424.76924360615,1382.5501297506453,,,0,,relleno,-0.4554530619931664,-0.14192303
8978.451240792125,26415.49739448377,1584.3562320672102,,,0,,relleno,0.12853419983938555,-0.3062515
8942.205683724189,25715.614314887716,1455.4977729442603,,,0,,relleno,-0.4791232305942243,-0.056771975
9022.025258047895,25555.23050750856,1716.110189577919,,,0,,relleno,-0.022926608303567797,0.112913035
8826.39020573405,25089.125553284804,1487.3347949748522,,,0,,relleno,-0.20724187449192616,-0.64354247
8873.275455111316,24688.031865233657,1535.0591860996092,,,0,,relleno,0.25717550118472804,-0.23488878
9068.256296696753,24458.825133123675,1571.800458737103,,,0,,relleno,1.3269186648958429,0.101648435
8849.69272610111,25234.80053295182,1354.3644584267568,,,0,,relleno,-0.513391376175178,-0.962991
8890.635527403761,26107.79820662996,1549.695217444412,,,0,,relleno,-0.2839869496490797,-0.59374744
8884.240650061038,25088.34619367452,1307.8955379229926,,,0,,relleno,-0.9524586647432054,-0.85795105
8914.862416127778,25784.23301110121,1611.7390501162529,,,0,,relleno,-0.14335529696340474,-0.38592154
8813.499333199152,26027.340050560404,1410.3699129940755,,,0,,relleno,-0.3579629723731664,-0.19768745
8902.094778700382,25043.22652662117,1510.9365468607298,,,0,,relleno,-0.3568413386555111,-0.08978698
8859.422582225809,24984.04989710182,1570.544489280899,,,0,,relleno,-0.36927505994400256,-0.027633546
9044.373042754783,25576.771879874763,1742.7068725635313,,,0,,relleno,-0.022926608303567787,-0.30175847
8992.334926154892,24367.20323555769,1722.7349533797978,,,0,,relleno,0.524330159786708,0.47332236
8951.224247465212,25236.840938225545,1337.2676618391197,,,0,,relleno,-0.4791787001344227,-1.274782
8755.373271815535,25826.40486770466,1370.6106896022109,,,0,,relleno,-0.45298817525398294,-0.4524372
9053.184053054714,25022.312044434417,1583.3221935119052,,,0,,relleno,0.11879653749942092,0.5719856
8921.463886658044,24633.553280227094,1397.851563564274,,,0,,relleno,-0.4791787001344227,0.006311523
8941.071583165663,24510.939792956007,1566.7459853311923,,,0,,relleno,1.547671443907836,0.13489337
9100.88295967097,25040.697710189903,1583.1025383889023,,,0,,relleno,0.16795275779354707,0.48661044
8830.914424587392,24890.529823775574,1448.328098903832,,,0,,relleno,-0.3327899201004584,-0.33348578
8820.882037392199,25656.36668688003,1582.898100792868,,,0,,relleno,-0.07853347771791967,0.16917393
9009.011106771226,26401.3788303972,1639.3819375531566,,,0,,relleno,-0.07807983132350553,-0.041453384
8892.370632339862,26230.20928563129,1525.4347679869084,,,0,,relleno,0.02455394613473554,-0.895085
8799.938702143803,25486.05073829987,1292.2162243777943,,,0,,relleno,-0.7149233565883761,-0.9240061
9038.167420753716,25121.31159869861,1748.6885879912838,,,0,,relleno,0.28031826607047206,-0.050810434
8818.823859940161,25131.19597534586,1533.1682474569204,,,0,,relleno,0.012654614981849466,-0.32544953
9090.86475994543,24691.365219335286,1606.1438854716926,,,0,,relleno,0.825087162667789,0.102615364
8991.87369124409,25909.3439941892,1722.5959411747165,,,0,,relleno,0.25935376834713286,0.46547356
8903.591840788562,26107.272854650764,1511.30177471474,,,0,,relleno,-0.3734692536972012,-0.47025794
8829.661031928428,25169.264514652044,1330.4553235776057,,,0,,relleno,-0.513391376175178,-1.1664282
8954.246521531217,24314.793246364254,1548.4900001856918,,,0,,relleno,1.547671443907836,1.243215
8909.798463943122,25828.31720035032,1640.1344072926686,,,0,,relleno,-0.08899993304847643,0.50196326
8875.348565363714,25084.93723079016,1452.755718806918,,,0,,relleno,-0.3327899201004584,0.13777542
8981.02011890489,26528.237052336357,1611.6153375888157,,,0,,relleno,0.12853419983938555,-0.47849697
8913.817543747557,26163.63814836284,1465.767520884166,,,0,,relleno,-0.3734692536972012,-0.5785643
9048.550678324542,24749.94791178349,1372.0447787660771,,,0,,relleno,-0.41378294174191044,-0.049038325
8856.221425714175,25509.26378226913,1353.987471048185,,,0,,relleno,-0.41442796570029056,-0.9347038
9180.180543962795,24649.730104234222,1646.6863018940496,,,0,,relleno,0.10779515825543587,0.12425695
8835.300997050266,26123.058081158528,1464.9384148907989,,,0,,relleno,-0.3579629723731664,-0.43817765
8799.37216694969,25739.432693672592,1439.557844614178,,,0,,relleno,-0.35796297237316643,-0.17250589
8791.383810436997,25296.019081745977,1420.132583733959,,,0,,relleno,-0.5126680685513232,-0.16584395
9141.013600669225,24422.363391607043,1562.8541717166304,,,0,,relleno,0.6052131399867884,0.097658455
8997.29722639621,25161.408910580685,1470.3437225515422,,,0,,relleno,-0.24829705269598526,-0.20769475
8939.37056885573,25213.00609946062,1549.619057151002,,,0,,relleno,-0.5188745241075875,0.033414222
8843.176832530085,25047.583061782963,1479.5989140724128,,,0,,relleno,-0.2341781967628031,-0.61990184
8914.927645711037,24976.333996928293,1599.5365656170138,,,0,,relleno,-0.032834942821479404,0.100692555
9066.314215974697,26019.723457827644,1699.6468021351882,,,0,,relleno,0.21618589964475515,0.023280794
8835.235039399626,25436.215035116795,1523.4091799792704,,,0,,relleno,-0.1628343210756496,-0.82290643
8916.51312247901,24512.69477719266,1605.7758120441529,,,0,,relleno,1.4817382277078592,0.0144195855
8985.229431506488,24699.256172009667,1655.104554730637,,,0,,relleno,0.7876831257283968,0.11899069
8829.129487216233,25086.806421882746,1526.3372332528152,,,0,,relleno,-0.20724187449192616,-0.7016139
8913.831813816576,25207.672345662424,1537.6503662820955,,,0,,relleno,-0.5188745241075875,0.022577569
8883.18059533595,25375.01889553057,1417.7735576378975,,,0,,relleno,-0.49987626720392886,-0.19787577
