modelo,n_train,R2_train,RMSE_train,n_test,R2_test,RMSE_test
KNN,975,1.0,0.0,244,0.4542315434884563,0.7671050602845222
XGBoost,975,0.7200993570330649,0.534702007730381,244,0.4795051028714441,0.7491328989494325
SVR,975,0.5495762814764111,0.6782979313733626,244,0.428877377087443,0.784721069944093
MLP,975,0.5611335426963328,0.6695392803959594,244,0.4403285948923886,0.7768142632102134
