Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
8928.308,25706.63,1639.566,12.7,-0.8661892521534974,0,0
8756.927,25807.131,1402.719,14.7,-0.404716808217749,0,0
8826.699,25796.015,1550.136,18.9,0.3481497443296034,0,0
9136.407,24778.355,1788.873,14.0,-0.5627963389464197,4,2
9070.067,24393.702,1541.627,22.8,0.91087286903535,0,0
9247.887,24437.368,1603.439,13.3,-0.7315152969860136,0,0
9144.344,24839.302,1824.939,13.1,-0.7630300992592184,4,2
9012.644,24598.74,1326.939,11.0,-1.387851771633993,0,0
9021.461,24598.706,1285.108,14.5,-0.4473052807811119,0,0
9074.611,24592.792,1465.014,14.6,-0.4307272992954576,0,0
8896.43,25710.441,1528.62,13.8,-0.6059551370107433,0,0
9137.149,24752.29,1762.539,15.4,-0.2432550703085236,0,2
9016.859,26591.985,1793.496,14.5,-0.4473052807811119,3,0
8996.684,27711.599,1746.733,15.7,-0.1725235325852888,3,0
9103.15,27700.46,2054.164,12.1,-1.047786807292261,3,4
9108.135,27700.776,2040.021,17.4,0.1194676034284659,3,4
9074.408,28501.938,2106.539,14.7,-0.404716808217749,3,4
9108.692,24382.829,1354.638,15.3,-0.2652838681602035,0,0
9049.748,25169.873,1822.406,22.2,0.8249333882852439,0,2
9084.266,25593.48,2265.255,9.34,-1.943266827405408,3,4
9038.357,25997.772,2279.299,16.47,-0.02560183333462483,3,4
9049.319,25500.22,2288.893,13.3,-0.7315152969860136,3,4
9099.841,26000.471,2305.887,26.72,1.337755575943242,2,4
9023.762,25999.419,2252.374,13.83,-0.5939395388892443,3,4
9073.272,25993.583,2205.183,14.44,-0.4568577698977627,3,4
9048.789,25399.355,2266.071,19.24,0.4166409401536473,2,4
9067.713,25092.534,2238.807,17.37,0.114414892630001,2,4
9129.889,25082.242,2244.423,25.96,1.259733350500092,2,3
9062.462,25196.688,2265.821,24.01,1.072005673809851,2,4
9043.187,25290.781,2256.849,15.79,-0.1574694601346144,2,4
9012.635,25543.847,2202.188,23.35,0.9992511756490516,2,4
8989.51,25171.782,2265.928,20.78,0.6549304836891207,2,4
9062.121,25196.402,2240.324,21.87,0.7768505251707396,2,4
9063.041,25249.811,2256.432,19.99,0.5376890151598384,2,4
9040.442,25249.48,2199.236,16.87,0.04894771798160344,2,4
9091.656,25406.911,2228.654,12.01,-1.075206508188439,3,4
9103.017,25952.407,2151.823,20.16,0.5574075160940047,3,4
8994.647,25778.889,2203.276,16.45,-0.02885908560439191,3,4
9028.434,25999.319,2244.682,24.35,1.099780121843101,2,4
9137.61,25985.487,2205.559,10.95,-1.408386944759543,3,4
9003.739,26055.202,2246.199,18.72,0.3255765657843933,3,4
9018.153,26046.195,2217.913,16.89,0.05584462215706186,3,4
9029.95,26038.633,2193.963,26.22,1.275302474602153,2,4
9116.519,26102.546,2196.693,12.65,-0.8808881195869299,3,4
9159.22,26090.522,2224.988,19.18,0.3952035232743205,3,4
9143.638,25448.903,2281.744,25.09,1.174750424711062,2,4
8971.076,25652.903,2188.753,19.89,0.5119767989801255,2,4
9131.049,26094.034,2277.766,20.45,0.6135094449805308,3,4
9047.175,25550.705,2267.937,26.99,1.371774427026201,2,4
9105.432,25553.479,2270.934,38.75,2.185662792601474,2,4
9174.171,25502.995,2270.211,28.0,1.460612446902058,2,4
9142.642,25589.465,2294.111,23.56,1.027011409171827,2,4
8991.802,25632.384,2265.648,23.6,1.032488454653673,2,4
9115.771,25797.657,2277.096,9.69,-1.812029240344281,3,4
9097.399,25847.223,2271.308,29.54,1.581998953410205,2,4
9120.984,25799.947,2233.907,17.05,0.07912030015842841,3,4
9027.802,25894.732,2272.641,25.41,1.207353248106542,2,4
9094.331,25887.782,2263.745,26.14,1.2705225515233,2,4
9090.469,25903.706,2284.083,20.03,0.5486177069377799,3,4
9132.75,25948.532,2287.515,13.34,-0.7180995327752956,3,4
9087.432,25948.323,2266.384,17.04,0.07648164442558232,3,4
9026.228,25997.111,2299.123,11.66,-1.179401750967482,3,4
9099.859,26000.602,2268.387,16.41,-0.0338798354034919,3,4
9129.744,25984.761,2296.717,16.27,-0.06804603587484066,3,4
9130.633,25984.794,2286.255,15.12,-0.3150117233426268,3,4
9131.67,25984.87,2274.3,17.42,0.1246549610277818,3,4
9151.562,26001.181,2297.13,25.87,1.247567105320063,2,4
9155.685,26001.529,2264.65,16.99,0.07246585313776963,3,4
9122.364,26046.478,2306.83,17.5,0.1359106806464805,3,4
9130.638,26046.043,2296.171,11.21,-1.275302474602153,3,4
9150.78,26044.841,2270.059,7.2,-2.752169028211249,3,4
9156.304,26044.489,2262.963,11.47,-1.209690318950794,3,4
9078.635,24937.082,2143.278,27.88,1.45538924223806,2,3
9209.18,25000.798,2162.371,22.89,0.9223302184168565,2,3
