holeid;From;To;Este;Norte;Cota;Rec_Peso_PND25_(%)
DD5116;15;27;9028.63;25550.402;2083.081;-99
DD5231;174;207;9033.532;25597.139;2022.148;-99
DG5234;46.5;51;9059.111;25601.305;2189.685;-99
DD4886;390;399;8948.745;25489.844;2047.092;-99
DD4886;438;459;8971.765;25485.547;1998.434;-99
DD4891;124.5;136.5;8985.259;25501.484;2081.703;-99
DD4893;0;10.5;9045.096;25501.032;2205.698;-99
DD4893;51;63;9094.446;25497.892;2220.958;-99
DD4896;54;75;9072.05;25601.865;2226.56;-99
DD4897;70.5;99;9085.944;25600.571;2161.234;-99
DD4898;66;87;9027.177;25598.954;2280.104;-99
DD4899;66;81;9037.415;25596.912;2241.829;-99
DD4906;0;24;9066.213;25553.14;2216.041;-99
DD4906;27;39;9078.224;25552.721;2233.262;-99
DD4906;39;52.5;9085.516;25552.466;2243.717;-99
DD4907;46.5;51;9079.115;25552.727;2156.816;-99
DD4938;30;51;9097.829;25701.548;2236.339;-99
DD4940;22.5;25.5;9075.269;25700.054;2229.929;-99
DD4942;40.5;64.5;9028.455;25698.604;2166.381;-99
DD4945;6;31.5;9086.434;25724.912;2213.636;-99
DD4946;57;79.5;9004.925;25725.026;2171.182;-99
DD4947;61.5;75;9048.829;25751.09;2272.17;-99
DD4955;37.5;60;9021.518;25774.958;2182.41;-99
DD4956;18;37.5;9050.123;25775.379;2180.621;-99
DD4960;0;10.5;9075.809;25799.825;2208.667;-99
DD4963;54;84;9011.528;25800.479;2162.807;-99
DD4976;199.5;210;9046.03;25794.066;2212.787;-99
DD4976;211.5;223.5;9042.24;25793.396;2200.631;-99
DD4976;276;286.5;9023.816;25790.274;2139.683;-99
DD4976;334.5;355.5;9006.511;25787.661;2078.383;-99
DD4981;0;18;9069.408;25848.96;2194.157;-99
DD4984;15;57;9084.117;25876.194;2186.079;-99
DD4985;34.5;49.5;9090.521;25877.273;2224.39;-99
DD5100;27;46.5;9029.325;25401.628;2067.064;-99
DD5100;73.5;82.5;9019.868;25401.549;2026.913;-99
DD5100;121.5;133.5;9008.843;25401.305;1978.658;-99
DD5116;27;55.5;9018.599;25550.175;2065.491;-99
DD5116;57;72;9007.352;25549.799;2045.147;-99
DD5230;0;16.5;9023.248;25464.817;2194.211;-99
DD4884;195;198;9168.766;25000.698;2195.142;-99
DD4908;79.5;90;8994.528;25554.27;2134.375;-99
DD4908;90;112.5;8984.603;25553.958;2121.198;-99
DD4920;454.5;477;8969.698;25096.487;1990.307;-99
DD4924B;340.5;355.5;9056.711;25105.748;2094.184;-99
DD4954B;43.4;63;9110.49;25773.202;2241.193;-99
DD4965;10.5;30;9086.589;25825.69;2191.154;-99
DD4965;30;46.5;9100.866;25826.014;2180.196;-99
DD4969;34.5;45;9073.796;25826.074;2163.651;-99
DD5223;160.5;166.5;9190.041;26343.447;2286.216;-99
DD4884;232.5;243;9156.04;25001.428;2155.911;-99
DD4885;394.5;414;8882.965;25049.898;1985.57;-99
DD5116;88.5;94.5;8994.479;25549.282;2021.419;-99
DD4898;54;66;9023.261;25599.729;2264.094;-99
DD4895;16.5;30;9046.563;25501.428;2181.602;-99
DD4895;69;81;9062.792;25501.31;2132.464;-99
DD4895;1.5;13.5;9041.555;25501.401;2196.534;-99
DD4902C;429;447;9099.684;25024.56;2014.132;-99
DD4904;43.5;61.5;9096.915;25552.53;2234.524;-99
DD4905;7.5;27;9060.696;25553.323;2223.711;-99
DD4907;0;46.5;9068.818;25553.069;2180.142;-99
DD4927;58.5;72;8977.857;25463.632;2160.398;-99
DD4933;30;43.5;9109.246;25651.066;2175.102;-99
DD4937;0;24;9032.633;25725.231;2111.68;-99
DD4937;42;73.5;9070.348;25726.633;2137.537;-99
DD4940;37.5;52.5;9080.332;25700.479;2250.305;-99
DD4944;36;51;9040.203;25726.213;2241.111;-99
DD4946;27;34.5;9038.453;25725.209;2187.974;-99
DD4948;22.5;36;9042.383;25751.581;2185.4;-99
DD4954B;78;111;9141.834;25771.998;2267.983;-99
DD4956;37.5;52.5;9039.702;25775.78;2166.881;-99
DD4956;54;67.5;9030.297;25776.253;2154.257;-99
DD4956;87;105;9009.362;25777.423;2125.921;-99
DD4957;73.5;108;9099.824;25750.583;2156.149;-99
DD4965;46.5;55.5;9110.984;25826.251;2172.441;-99
DD4969;4.5;21;9070.287;25825.748;2190.42;-99
DD4974;79.5;93;9096.125;25802.588;2120.655;-99
DD4974;93;106.5;9100.164;25802.998;2107.78;-99
DD4976;267;276;9026.547;25790.712;2149.033;-99
DD4976;316.5;325.5;9013.019;25788.585;2101.465;-99
DD4981B;72;91.5;9075.759;25850.965;2121.86;-99
DD4981B;94.5;115.5;9077.879;25851.565;2098.714;-99
DD4981B;139.5;154.5;9081.541;25852.601;2056.887;-99
DD4941;49.5;60;9102.801;25700.754;2157.993;-99
DD4997;63;93;9076.343;25899.501;2154.048;-99
DD5000;210;231;9037.172;25904.576;1984.435;-99
DD4924B;241.5;250.5;9002.166;25103.786;2180.35;-99
DD4924B;384;396;9078.918;25106.659;2058.547;-99
DD4941;10.5;37.5;9084.594;25700.132;2182.766;-99
DD4953;28.5;43.5;9084.974;25775.646;2170.464;-99
DD4982;6;24;9075.052;25849.037;2189.418;-99
DD4892;27;40.5;9005.364;25502.56;2186.733;-99
DD4903;348;378;9058.923;25000.774;2033.847;-99
DD4903;147;153;9118.228;25001.209;2238.385;-99
DD4903;154.5;160.5;9115.913;25001.3;2231.252;-99
DD5006;66;78;9147.826;25946.611;2240.507;-99
DD5231;27;49.5;8984.57;25597.924;2166.283;-99
DD4894;51;75;9085.984;25498.902;2248.781;-99
DD4903;108;114;9130.455;25000.846;2275.416;-99
DD4893;10.5;14.5;9052.01;25500.592;2207.836;-99
DD4939;9;28.5;9053.735;25699.297;2218.714;-99
DD4920;369;379.5;8922.175;25096.729;2068.477;-99
DD3316;330;345;8858.592;25196.42;2051.8;-99
DD5100;46.5;66;9024.835;25401.575;2048.089;-99
DD4922;406.5;423;8946.877;25287.418;2009.841;-99
DM5256;153;177;9133.976;25985.096;2247.4;-99
DD4884;271.5;288;9143.082;25002.153;2115.966;-99
DD4920;390;402;8933.719;25096.318;2050.048;-99
DD4922;532.5;549;8996.583;25280.531;1894.274;-99
DD4891;301.5;313.5;8918.677;25500.018;1917.742;-99
DD4895;51;60;9056.767;25501.437;2151.009;-99
DD4905;37.5;52.5;9063.956;25553.215;2251.268;-99
DM5255;310.5;315;9068.411;25983.601;2099.454;-99
DM5255;318;321;9068.313;25983.637;2092.705;-99
DM5255;321;331.5;9068.216;25983.674;2085.955;-99
DM5255;331.5;334.5;9068.129;25983.715;2079.206;-99
DM5255;352.5;363;9067.797;25983.884;2054.459;-99
DM5255;366;373.5;9067.624;25983.987;2042.461;-99
DM5258;243;246;9122.523;24983.93;2137.76;-99
DM5258;247.5;252;9122.007;24983.9;2132.536;-99
DD5100;82.5;96;9017.299;25401.535;2015.96;-99
DG5234;66;75;9079.923;25601.91;2183.4;-99
DD4890;438;448.5;8921.437;25408.34;1973.235;-99
DM5255;378;381;9067.487;25984.075;2032.712;-99
DM5255;382.5;393;9067.373;25984.154;2024.463;-99
DM5255;393;408;9067.195;25984.274;2011.715;-99
DM5255;408;411;9067.039;25984.34;2002.717;-99
DM5258;418.5;423;9105.642;24982.09;1962.331;-99
DM5258;423;426;9105.27;24982.031;1958.6;-99
DM5257;190.5;195;9089.497;25406.086;2203.259;-99
DM5257;207;217.5;9087.989;25405.921;2183.821;-99
DM5257;217.5;234;9087.003;25405.997;2170.358;-99
DG5234;51;66;9068.453;25601.549;2186.908;-99
DD5100;9;27;9033.701;25401.728;2085.296;-99
DD4974;51;70.5;9088.497;25801.813;2144.975;-99
DD4903;118.5;126;9126.866;25000.984;2264.755;-99
DD4976;108;114;9075.337;25797.71;2301.758;-99
DM5258;201;220.5;9125.91;24984.116;2171.339;-99
DM5258;196.5;199.5;9127.218;24984.175;2184.022;-99
DM5258;426;429;9104.972;24981.981;1955.615;-99
DM5258;429;432;9104.673;24981.93;1952.631;-99
DM5258;436.5;439.5;9103.928;24981.804;1945.169;-99
DM5258;439.5;444;9103.555;24981.741;1941.438;-99
DM5258;445.5;448.5;9103.032;24981.652;1936.215;-99
DD4884;175.5;189;9173.158;25000.376;2208.694;-99
DD4884;252;267;9149.329;25001.804;2135.225;-99
DD4884;340.5;360;9122.189;25003.579;2048.651;-99
DM5258;324;328.5;9114.721;24983.275;2056.386;-99
DD4901;372;385.5;8928.832;24990.748;2024.46;-99
DD4901;460.5;478.5;8961.539;24986.71;1939.912;-99
DD4901;483;500;8969.696;24985.534;1919.514;-99
DD4903;160.5;174;9112.902;25001.416;2221.979;-99
DD4903;180;199.5;9106.117;25001.701;2200.529;-99
DD4903;336;348;9064.373;25000.944;2054.127;-99
DD4903;378;396;9052.797;25000.556;2010.643;-99
DD4903;400.5;418.5;9047.156;25000.192;1988.865;-99
DD4903;439.5;459;9037.518;24999.41;1950.31;-99
DD4903;510;520.5;9022.053;24998.11;1886.163;-99
DM5258;124.5;134.5;9134.162;24984.312;2252.168;-99
DM5258;135;141;9133.252;24984.282;2243.717;-99
DD4920;402;420;8941.633;25096.146;2037.307;-99
DD4920;420;436.5;8950.602;25096.006;2022.572;-99
DD4920;483;499.5;8982.467;25097.433;1968.255;-99
DD4920;531;550.5;9006.822;25100.425;1925.268;-99
DD4920;580.5;594;9029.085;25103.418;1884.554;-99
DD4924B;220.5;228;8990.187;25103.556;2198.502;-99
DD4924B;250.5;265.5;9008.708;25103.959;2170.291;-99
DD4924B;270;289.5;9020.455;25104.32;2151.99;-99
DD4924B;363;379.5;9069.031;25106.254;2074.473;-99
DD4924B;441;460.5;9111.108;25107.905;2007.042;-99
DD5326;315;319.5;8986.643;25089.839;2128.042;-99
DD4888;360;369;8906.391;25195.886;2063.164;-99
DD4888;490.5;510;8965.358;25190.386;1941.023;-99
DD4888;562.5;573;8994.117;25185.913;1880.121;-99
DD4922;291;310.5;8902.682;25292.486;2114.8;-99
DD4922;324;339;8914.712;25291.132;2086.533;-99
DD4922;487.5;495;8976.557;25283.201;1939.463;-99
DD5287;297;307.5;9007.718;25295.58;2119.281;-99
DD4890;481.5;498;8935.841;25408.12;1929.023;-99
DD5100;172.5;186;8997.299;25401.137;1928.212;-99
DD5100;210;228;8988.543;25401.091;1889.439;-99
DD4886;192;198;8860.066;25499.521;2225.494;-99
DD4891;0;10.5;9033.817;25502.095;2197.128;-99
DD4891;12;18;9029.875;25502.105;2188.211;-99
DD4892;7.5;15;9025.208;25502.473;2197.338;-99
DD4891;52.5;66;9012.097;25502.039;2147.691;-99
DD4891;106.5;120;8991.44;25501.516;2097.808;-99
DD4892;73.5;88.5;8964.431;25503.159;2163.169;-99
DD4894;30;49.5;9069.113;25499.872;2232.812;-99
DD4894;172.5;190.5;9171.969;25493.959;2330.17;-99
DD4895;135;150;9083.646;25500.874;2068.267;-99
DD4895;150;162;9087.812;25500.689;2055.428;-99
DD4899;12;30;8991.4;25598.16;2216.674;-99
DD5231;141;154.5;9019.088;25596.724;2062.381;-99
DD5328;40.5;49.5;9025.62;25611.434;2062.739;-99
DD5328;130.5;150;8972.935;25611.121;1983.389;-99
DD4939;28.5;36;9043.398;25698.972;2227.392;-99
DD4942;70.5;85.5;9009.664;25698.013;2149.153;-99
DD5244C;190.5;210;9031.496;25707.595;2204.363;-99
DD5244C;252;267;9028.394;25706.857;2145.199;-99
DD5244C;391.5;397.5;9021.389;25706.045;2010.386;-99
DD5244C;399;409.5;9020.961;25706.034;2000.645;-99
DD4976;130.5;138;9067.827;25796.999;2279.766;-99
DD4985;123;132;9168.316;25880.951;2259.666;-99
DD4995;112.5;131.3;9101.192;25904.231;2295.123;-99
DD4997;10.5;16.5;9026.965;25902.262;2195.45;-99
DD4997;16.5;27;9033.321;25901.906;2190.202;-99
DD5240;43.5;54;9016.602;25876.637;2166.536;-99
DD5233;100.5;114;9033.795;25895.725;2318.966;-99
DD5014;33;46.5;9045.192;25999.748;2184.365;-99
DD5294;232.5;267;9054.53;25998.785;2201.743;-99
DD5294;381;390;9124.673;25994.472;2085.606;-99
DD5221;91.5;100.5;9032.435;26099.672;2324.702;-99
DD5221;112.5;127.5;9039.063;26099.3;2301.64;-99
DD4899;121.5;130.5;9084.266;25593.48;2265.255;9.34
DD5013;75;88.5;9038.357;25997.772;2279.299;16.47
DD3345;101;114.5;9049.319;25500.22;2288.893;13.3
DD5239;102;111;9099.841;26000.471;2305.887;26.72
DD5294;186;195;9023.762;25999.419;2252.374;13.83
DD3941;3;12;9073.272;25993.583;2205.183;14.44
DD3171;122;134;9048.789;25399.355;2266.071;19.24
DD4016;163.5;174;9067.713;25092.534;2238.807;17.37
DD3394;153.5;171.5;9129.889;25082.242;2244.423;25.96
DD3120;115.5;129;9062.462;25196.688;2265.821;24.01
DD5216;159;168;9043.187;25290.781;2256.849;15.79
DD3691;27.5;41;9012.635;25543.847;2202.188;23.35
DD3377;150;162;8989.51;25171.782;2265.928;20.78
DD3120;142.5;153;9062.121;25196.402;2240.324;21.87
DD4887;138;148.5;9063.041;25249.811;2256.432;19.99
DD4887;199.5;210;9040.442;25249.48;2199.236;16.87
DM5257;162;172.5;9091.656;25406.911;2228.654;12.01
DD5007;51;61.5;9103.017;25952.407;2151.823;20.16
DD3692;93;103.5;8994.647;25778.889;2203.276;16.45
DD5294;195;204;9028.434;25999.319;2244.682;24.35
DM5256;202.5;211.5;9137.61;25985.487;2205.559;10.95
DD3370;202.5;213;9003.739;26055.202;2246.199;18.72
DD3370;235.5;246;9018.153;26046.195;2217.913;16.89
DD3370;259.5;277.5;9029.95;26038.633;2193.963;26.22
DD5299;231;241.5;9116.519;26102.546;2196.693;12.65
DD3198;215;225.5;9159.22;26090.522;2224.988;19.18
DD3406;120.5;141.5;9143.638;25448.903;2281.744;25.09
DD3970;100.5;109.5;8971.076;25652.903;2188.753;19.89
DD3198;153.5;167;9131.049;26094.034;2277.766;20.45
DD3785;54;70.5;9047.175;25550.705;2267.937;26.99
DD4906;73.5;85.5;9105.432;25553.479;2270.934;38.75
DD3402;135.5;158;9174.171;25502.995;2270.211;28
DD4899;184.5;198;9142.642;25589.465;2294.111;23.56
DD3392;162;172.5;8991.802;25632.384;2265.648;23.6
DD4961;76.5;90;9115.771;25797.657;2277.096;9.69
DD4978;61.5;76.5;9097.399;25847.223;2271.308;29.54
DD4960;46.5;67.5;9120.984;25799.947;2233.907;17.05
DD3359;151.5;160.5;9027.802;25894.732;2272.641;25.41
DD3360;170.5;179.5;9094.331;25887.782;2263.745;26.14
DD4995;100.5;112.5;9090.469;25903.706;2284.083;20.03
DD5292;145.5;154.5;9132.75;25948.532;2287.515;13.34
DD5004;51;63;9087.432;25948.323;2266.384;17.04
DD5013;99;111;9026.228;25997.111;2299.123;11.66
DD5239;139.5;148.5;9099.859;26000.602;2268.387;16.41
DM5256;111;120;9129.744;25984.761;2296.717;16.27
DM5256;121.5;130.5;9130.633;25984.794;2286.255;15.12
DM5256;133.5;142.5;9131.67;25984.87;2274.3;17.42
DD3200;109;119.5;9151.562;26001.181;2297.13;25.87
DD5011;84;99;9155.685;26001.529;2264.65;16.99
DD5298;132;141;9122.364;26046.478;2306.83;17.5
DD5298;145.5;154.5;9130.638;26046.043;2296.171;11.21
DD5298;178.5;187.5;9150.78;26044.841;2270.059;7.2
DD5298;187.5;196.5;9156.304;26044.489;2262.963;11.47
DD5281C;285;295.5;9078.635;24937.082;2143.278;27.88
DD3290;211.5;225;9209.18;25000.798;2162.371;22.89
DD4967;15;25.5;9049.107;25826.092;2218.272;19.44
DD5327;271.5;285;8979.955;25034.508;2152.196;26.52
DD3377;253.5;270;9044.492;25146.143;2179.372;26.98
DD4922;240;253.5;8881.722;25294.717;2164.516;38.46
DD5285;292.5;306;8901.546;25277.669;2177.68;37.59
DD3872B;21;34.5;9011.123;25507.842;2100.682;27.1
DD3869;12;25.5;9062.929;25696.995;2100.967;27.68
DD5273;166.5;177;9256.22;24697.001;2216.589;23.25
DD3394;236;258.5;9166.261;25072.189;2168.542;23.79
DD3974;6;19.5;9023.816;25441.951;2102.756;23.79
DD5273;139.5;151.5;9245.192;24697.927;2240.392;20.34
DD5228B;318;328.5;8999.457;24970.594;2140.382;28.51
DD3397;301.5;315;9092.551;25052.038;2115.591;22.42
DD5315;19.5;33;9047.246;25340.202;2088.163;23
DD3834;7.5;21;9060.45;25646.15;2100.999;15.68
DD3860;6;19.5;9019.8;25646.013;2100.883;20.63
DD5327;253.5;267;8989.882;25033.662;2167.187;29.72
DD3863;34.5;48;9066.206;25751.792;2099.358;19.61
DD3863;6;19.5;9037.832;25752.783;2101.842;22.22
DD3392;340.5;358.5;9072.026;25610.492;2103.685;19.19
DD3860;27;40.5;8998.957;25645.831;2098.324;20.26
DD3397;273;288;9080.795;25057.028;2140.223;21.14
DD3646;19.5;34.5;9101.177;25709.756;2203.23;23.47
DD5283;232.5;246;9155.229;25154.414;2169.563;13.01
DD3290;246;259.5;9209.03;25001.059;2127.872;26.96
DD5327;177;189;9032.652;25030.023;2231.411;18.09
DD4889;279;292.5;8872.682;25448.335;2141.834;28.65
DD4016;238.5;252;9104.721;25090.235;2171.899;26.39
DD3866;15;30;8992.797;25752.826;2100.235;26.3
DD3317;257.5;271;8944.601;25164.123;2169.836;18.78
DD4910;216;228;9219.641;24751.242;2187.987;19.68
DD5228B;349.5;361.5;9021.512;24965.037;2117.518;19.02
DD5276;234;246;9149.542;24850.611;2155.046;23.29
DD5326;282;295.5;8969.721;25091.582;2150.908;19.93
DD3317;307;320.5;8968.865;25158.073;2127.125;17.92
DD4910;189;201;9205.31;24750.792;2210.865;20.26
DD5275;211.5;223.5;9254.352;24847.037;2178.989;23.11
DD4013;177;189;9272.895;24796.648;2208.454;26.63
DD3172;186.5;197;9050.763;24996.478;2189.476;22.07
DD5315;3;16.5;9035.538;25340.245;2099.79;17.55
DD3938;12;25.5;9056.252;25387.938;2102.442;12.98
DD3120;213;225;9061.111;25195.929;2169.085;19.4
DD5291;264;274.5;8990.582;25759.809;2138.527;15.36
DD5283;154.5;163.5;9121.323;25151.815;2242.251;24.47
DD4928;49.5;64.5;9063.494;25463.136;2155.462;20.73
DD3170;264;285;9047.796;25597.836;2125.729;21.28
DD5283;195;205.5;9138.946;25153.202;2204.98;23.53
DD3207;175.5;196.5;9113.855;24943.501;2223.758;20.4
DD5327;162;175.5;9040.564;25029.374;2243.245;23.22
DD5287;249;261;8986.194;25297.131;2161.312;24.13
DD5285;163.5;174;8992.814;25261.978;2269.62;22.78
DD5286;183;195;9135.595;25252.968;2215.772;14.75
DD5291;274.5;285;8991.521;25759.82;2128.069;16.39
DD5275;136.5;148.5;9223.723;24847.853;2247.444;17.72
