Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
8895.0,25602.5,1507.5,12.4,12.56281757,13.746735847398332,15.328132615508899,15.592566222046894,15.947163
9015.0,26022.5,1837.5,15.4,15.37941742,15.633477804428686,15.69,14.691318662985621,15.566971
8915.0,25707.5,1582.5,16.1,15.95104885,15.545210342059656,15.622540472225767,15.69,15.668793
8945.0,25137.5,1477.5,14.6,14.79894257,14.654233186988773,15.36,15.22577698420471,15.122951
8865.0,25782.5,1657.5,15.1,15.04849243,15.541352124539552,15.589108076290039,15.69,16.182478
9095.0,24987.5,1882.5,15.5,15.61441803,15.180179491835391,15.192584422370158,15.191149085729345,15.36
8655.0,25827.5,1222.5,12.0,12.00000095,12.137704431695669,14.34953855375459,12.71837123598287,12.6402
8865.0,25797.5,1627.5,15.5,15.41382408,15.582780753980435,15.560676955841451,15.640991556283298,16.182478
8885.0,25602.5,1567.5,19.9,19.54638863,16.922928086255904,15.788554849458555,15.73,16.691782
8975.0,24972.5,1837.5,17.6,17.48542976,16.628804715792622,16.090167699193884,16.398946030508036,16.866869
8965.0,26397.5,1612.5,12.8,12.80000114,14.287568254385603,15.82665117823479,15.552484678623644,15.39078
9135.0,24747.5,1807.5,17.2,16.87456703,15.64274832713468,14.933531619459297,14.504266539995847,14.33238
9095.0,24387.5,1417.5,17.4,17.32188225,17.74796434164901,16.159955397126453,15.638046850975556,15.327104
8955.0,25032.5,1492.5,13.2,13.45515251,14.04039197371895,15.357160138036836,15.195033824479246,16.714342
9085.0,24912.5,1792.5,16.2,16.22631073,16.373817279529565,15.69341714617987,15.4,14.9279995
8905.0,24987.5,1342.5,10.7,10.79146099,11.219603539837705,13.999432933887139,12.417687931166384,13.970102
9065.0,24972.5,1687.5,16.4,16.45325661,16.4,16.083959688483425,17.703775291918074,18.291906
9025.0,25752.5,1732.5,11.8,12.60742092,13.8,15.771386002731942,16.31,15.827316
8825.0,25542.5,1657.5,13.4,13.6623745,14.697647491670855,15.722081539468487,16.2,16.593851
