Norte,Este,Cota,dist_3d_m,Rec_Peso_PND25_(%),recpe,diferencia
26024.492,9032.406,1749.141,3.6592049682942474,14.1,14.17712879,-0.07712878999999973
24950.973,8880.246,1284.463,8.309970758070357,14.3,14.01377106,0.2862289400000009
24752.322,9139.848,1745.501,7.123958801116188,13.2,15.12967014,-1.9296701400000007
26001.25,9047.035,1809.462,6.859531252206623,14.8,14.83963299,-0.039632989999999424
25810.498,8940.182,1560.526,8.709638568849684,14.7,14.56654739,0.13345260999999908
25652.673,8990.151,1751.717,8.24959508097159,21.0,20.64297867,0.35702132999999847
25400.771,8927.508,1614.124,7.36253224101535,15.6,15.76394367,-0.1639436700000001
25703.791,8944.257,1694.997,8.397245917560927,22.5,20.87524223,1.6247577699999987
24981.964,8891.163,1270.948,7.566939209482108,12.6,12.3397274,0.2602726000000004
25500.099,8809.253,1630.409,5.771056315788054,16.2,16.14918137,0.05081862999999842
24752.343,9142.064,1731.425,5.764578909166361,18.5,17.26836014,1.2316398600000014
25807.92,8941.67,1609.185,6.561594699462614,13.9,13.91422272,-0.014222719999999356
25594.014,9047.154,1780.753,7.593017911212329,14.9,16.48135757,-1.5813575699999998
24971.701,9046.367,1732.94,1.6433776194165104,17.2,17.19075966,0.00924033999999807
24978.542,9092.324,1822.01,6.6262236605786775,16.4,16.66834831,-0.26834831000000037
24978.05,9090.823,1805.586,7.205083275021129,18.8,18.01652718,0.7834728200000001
25706.63,8928.308,1639.566,4.50645315076103,12.7,13.4954567,-0.7954567000000008
25807.131,8756.927,1402.719,5.708541932926977,14.7,14.69999886,1.1400000001771105e-06
25796.015,8826.699,1550.136,3.26807619250281,18.9,17.15582657,1.74417343
24778.355,9136.407,1788.873,3.9831900532107154,14.0,14.16794395,-0.16794394999999973
24393.702,9070.067,1541.627,8.93484314356008,22.8,23.05593872,-0.2559387199999996
24437.368,9247.887,1603.439,8.203896269455791,13.3,13.30000019,-1.8999999973345894e-07
24839.302,9144.344,1824.939,3.1026216333933396,13.1,13.14932156,-0.049321560000000986
24598.74,9012.644,1326.939,2.72085593150442,11.0,11.11972904,-0.11972903999999929
24598.706,9021.461,1285.108,4.558576641891676,14.5,14.37736511,0.1226348900000005
24592.792,9074.611,1465.014,5.351334506456012,14.6,14.60000038,-3.800000012432747e-07
25710.441,8896.43,1528.62,6.938932266566161,13.8,13.89790535,-0.09790534999999956
24752.29,9137.149,1762.539,5.2501259032527905,15.4,15.44231319,-0.04231318999999978
26591.985,9016.859,1793.496,2.170972593102224,14.5,14.51171589,-0.011715889999999618
24382.829,9108.692,1354.638,6.606069103481993,15.3,15.28241253,0.017587470000000494
25169.873,9049.748,1822.406,5.3088105070716365,22.2,22.20000267,-2.6700000006485425e-06
25593.48,9084.266,2265.255,9.422801122808108,9.34,12.03394985,-2.693949850000001
25997.772,9038.357,2279.299,9.235249536423387,16.47,16.88793945,-0.4179394500000022
25500.22,9049.319,2288.893,5.290804286684789,13.3,13.84248066,-0.542480659999999
26000.471,9099.841,2305.887,9.182259580298595,26.72,22.70690536,4.0130946399999985
25999.419,9023.762,2252.374,8.699487398693321,13.83,18.54434395,-4.714343949999998
25993.583,9073.272,2205.183,7.5958779611045895,14.44,15.4901123,-1.0501123000000003
25399.355,9048.789,2266.071,10.133093653963739,19.24,18.81424332,0.4257566799999992
25092.534,9067.713,2238.807,4.582551036267912,17.37,18.16727448,-0.7972744799999987
25082.242,9129.889,2244.423,7.077203826369281,25.96,24.53936577,1.420634230000001
25196.688,9062.462,2265.821,7.190954665411701,24.01,23.55637932,0.4536206800000002
25290.781,9043.187,2256.849,3.804698542590971,15.79,16.73489761,-0.9448976100000017
25543.847,9012.635,2202.188,5.420791270654512,23.35,22.21459389,1.1354061100000017
25171.782,8989.51,2265.928,9.048027851415855,20.78,20.14517021,0.6348297900000013
25196.402,9062.121,2240.324,3.7721639678052554,21.87,22.5603466,-0.690346599999998
25249.811,9063.041,2256.432,7.643888146750022,19.99,21.10344315,-1.113443150000002
25249.48,9040.442,2199.236,8.515248675171014,16.87,16.81688881,0.05311119000000275
25406.911,9091.656,2228.654,3.5862198761361777,12.01,13.2220068,-1.212006800000001
25952.407,9103.017,2151.823,5.3356599404378695,20.16,18.97972488,1.180275120000001
25778.889,8994.647,2203.276,6.821004764695831,16.45,16.90090942,-0.4509094200000021
25999.319,9028.434,2244.682,7.940544124931706,24.35,20.77255821,3.5774417900000017
25985.487,9137.61,2205.559,10.206456290014984,10.95,12.63182926,-1.6818292600000007
26055.202,9003.739,2246.199,4.75116048981801,18.72,11.65999985,7.060000149999999
26046.195,9018.153,2217.913,8.887913309658535,16.89,18.33117867,-1.4411786699999993
26038.633,9029.95,2193.963,6.1884212849489755,26.22,23.4217701,2.798229899999999
26102.546,9116.519,2196.693,5.331109265432927,12.65,13.00617886,-0.35617886
26090.522,9159.22,2224.988,8.532937829375271,19.18,17.3892498,1.790750199999998
25448.903,9143.638,2281.744,6.9227876610515375,25.09,24.74552536,0.3444746400000014
25652.903,8971.076,2188.753,9.148234474476043,19.89,19.33733368,0.5526663200000002
26094.034,9131.049,2277.766,7.440047916512111,20.45,18.36794281,2.0820571900000004
25550.705,9047.175,2267.937,8.468979808688532,26.99,24.48923874,2.5007612599999973
25553.479,9105.432,2270.934,4.336752356315165,38.75,30.86226082,7.8877391800000005
