Orig_Este,Orig_Norte,Orig_Cota,Orig_Real_RecPeso(%),Val_Este,Val_Norte,Val_Cota,Val_Real_Empresa_recpe(%),pred_real_knn,pred_real_xgb,pred_real_svr,pred_real_mlp,Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
8896.836,25603.992,1514.132,12.4,8895.0,25602.5,1507.5,12.56281757,15.118792910609205,12.577529940894781,14.153097633316364,15.03563168264906,-0.969426707372842,2,1
9011.871,26029.625,1839.699,15.4,9015.0,26022.5,1837.5,15.37941742,15.896338646071637,13.5888921036767,15.190532898595373,16.0,-0.2380893279790155,2,2
8913.27,25708.682,1586.962,16.1,8915.0,25707.5,1582.5,15.95104885,15.464220232646523,15.082691596454652,15.1038168166628,15.663198262204697,-0.0942319252397101,2,1
8943.9,25143.9,1475.9,14.6,8945.0,25137.5,1477.5,14.79894257,13.800615373597493,14.89397452293391,14.763319557108852,14.3329874201563,-0.4252277308747451,2,1
8868.632,25789.857,1652.174,15.1,8865.0,25782.5,1657.5,15.04849243,15.27628281094394,14.902369625813858,15.79886254704343,16.377740289164255,-0.3163303832842014,2,1
9098.023,24980.459,1884.722,15.5,9095.0,24987.5,1882.5,15.61441803,15.397186573162738,15.013944385858958,14.864150534466015,15.599780764571603,-0.2252024008381489,2,3
8654.587,25827.915,1219.739,12.0,8655.0,25827.5,1222.5,12.00000095,13.412097125042125,11.977358189749815,12.399274950977915,13.490035187647766,-1.075206508188439,2,1
8862.301,25804.168,1626.027,15.5,8865.0,25797.5,1627.5,15.41382408,14.5,15.584781060161452,15.571427086746514,16.378771291507146,-0.2252024008381489,2,1
8881.648,25604.292,1561.505,19.9,8885.0,25602.5,1567.5,19.54638863,15.118792910609205,15.604340989621507,15.094641023182417,15.627868585976687,0.5149233167586906,2,1
8977.652,24968.162,1835.855,17.6,8975.0,24972.5,1837.5,17.48542976,15.067106035914893,16.620976955164416,15.69365857817564,16.6,0.1587398075978676,2,1
